MPR,ReadDatetime,kWh,ReadType
1.2E+12,04/02/2023 00:00,26.6,Actual
1.2E+12,04/02/2023 00:30,26.4,Actual
1.2E+12,04/02/2023 01:00,25.8,Actual
1.2E+12,04/02/2023 01:30,24.9,Actual
1.2E+12,04/02/2023 02:00,25.9,Actual
1.2E+12,04/02/2023 02:30,25,Actual
1.2E+12,04/02/2023 03:00,24.8,Actual
1.2E+12,04/02/2023 03:30,24.5,Actual
1.2E+12,04/02/2023 04:00,26.5,Actual
1.2E+12,04/02/2023 04:30,25.4,Actual
1.2E+12,04/02/2023 05:00,25,Actual
1.2E+12,04/02/2023 05:30,24.9,Actual
1.2E+12,04/02/2023 06:00,24.6,Actual
1.2E+12,04/02/2023 06:30,24.9,Actual
1.2E+12,04/02/2023 07:00,29.1,Actual
1.2E+12,04/02/2023 07:30,28.9,Actual
1.2E+12,04/02/2023 08:00,26.3,Actual
1.2E+12,04/02/2023 08:30,22.8,Actual
1.2E+12,04/02/2023 09:00,21.9,Actual
1.2E+12,04/02/2023 09:30,19.6,Actual
1.2E+12,04/02/2023 10:00,13,Actual
1.2E+12,04/02/2023 10:30,16.1,Actual
1.2E+12,04/02/2023 11:00,13.2,Actual
1.2E+12,04/02/2023 11:30,15.6,Actual
1.2E+12,04/02/2023 12:00,22.4,Actual
1.2E+12,04/02/2023 12:30,18.3,Actual
1.2E+12,04/02/2023 13:00,19.1,Actual
1.2E+12,04/02/2023 13:30,21.4,Actual
1.2E+12,04/02/2023 14:00,25.4,Actual
1.2E+12,04/02/2023 14:30,25.6,Actual
1.2E+12,04/02/2023 15:00,27.2,Actual
1.2E+12,04/02/2023 15:30,26.7,Actual
1.2E+12,04/02/2023 16:00,28.1,Actual
1.2E+12,04/02/2023 16:30,29.3,Actual
1.2E+12,04/02/2023 17:00,29.6,Actual
1.2E+12,04/02/2023 17:30,29.6,Actual
1.2E+12,04/02/2023 18:00,26.1,Actual
1.2E+12,04/02/2023 18:30,25.8,Actual
1.2E+12,04/02/2023 19:00,25.3,Actual
1.2E+12,04/02/2023 19:30,25.5,Actual
1.2E+12,04/02/2023 20:00,25.9,Actual
1.2E+12,04/02/2023 20:30,25.6,Actual
1.2E+12,04/02/2023 21:00,26,Actual
1.2E+12,04/02/2023 21:30,25.8,Actual
1.2E+12,04/02/2023 22:00,25.9,Actual
1.2E+12,04/02/2023 22:30,25.6,Actual
1.2E+12,04/02/2023 23:00,25.5,Actual
1.2E+12,04/02/2023 23:30,25.6,Actual
1.2E+12,05/02/2023 00:00,25.1,Actual
1.2E+12,05/02/2023 00:30,25.5,Actual
1.2E+12,05/02/2023 01:00,24.8,Actual
1.2E+12,05/02/2023 01:30,24.5,Actual
1.2E+12,05/02/2023 02:00,24.7,Actual
1.2E+12,05/02/2023 02:30,25,Actual
1.2E+12,05/02/2023 03:00,24.9,Actual
1.2E+12,05/02/2023 03:30,24.6,Actual
1.2E+12,05/02/2023 04:00,24.8,Actual
1.2E+12,05/02/2023 04:30,24.6,Actual
1.2E+12,05/02/2023 05:00,25.2,Actual
1.2E+12,05/02/2023 05:30,24.5,Actual
1.2E+12,05/02/2023 06:00,24.7,Actual
1.2E+12,05/02/2023 06:30,24.3,Actual
1.2E+12,05/02/2023 07:00,24.5,Actual
1.2E+12,05/02/2023 07:30,23.6,Actual
1.2E+12,05/02/2023 08:00,19.4,Actual
1.2E+12,05/02/2023 08:30,14.9,Actual
1.2E+12,05/02/2023 09:00,9.8,Actual
1.2E+12,05/02/2023 09:30,0.4,Actual
1.2E+12,05/02/2023 10:00,0,Actual
1.2E+12,05/02/2023 10:30,0,Actual
1.2E+12,05/02/2023 11:00,0,Actual
1.2E+12,05/02/2023 11:30,0,Actual
1.2E+12,05/02/2023 12:00,0,Actual
1.2E+12,05/02/2023 12:30,0,Actual
1.2E+12,05/02/2023 13:00,0,Actual
1.2E+12,05/02/2023 13:30,0,Actual
1.2E+12,05/02/2023 14:00,0,Actual
1.2E+12,05/02/2023 14:30,4,Actual
1.2E+12,05/02/2023 15:00,2.1,Actual
1.2E+12,05/02/2023 15:30,12.2,Actual
1.2E+12,05/02/2023 16:00,20.1,Actual
1.2E+12,05/02/2023 16:30,24.7,Actual
1.2E+12,05/02/2023 17:00,26.5,Actual
1.2E+12,05/02/2023 17:30,27.2,Actual
1.2E+12,05/02/2023 18:00,29.7,Actual
1.2E+12,05/02/2023 18:30,29.5,Actual
1.2E+12,05/02/2023 19:00,29.6,Actual
1.2E+12,05/02/2023 19:30,29.2,Actual
1.2E+12,05/02/2023 20:00,29.1,Actual
1.2E+12,05/02/2023 20:30,30,Actual
1.2E+12,05/02/2023 21:00,29.5,Actual
1.2E+12,05/02/2023 21:30,29.8,Actual
1.2E+12,05/02/2023 22:00,27.3,Actual
1.2E+12,05/02/2023 22:30,25.9,Actual
1.2E+12,05/02/2023 23:00,25.5,Actual
1.2E+12,05/02/2023 23:30,25,Actual
1.20006E+12,04/02/2023 00:00,0,Actual
1.20006E+12,04/02/2023 00:30,0,Actual
1.20006E+12,04/02/2023 01:00,0,Actual
1.20006E+12,04/02/2023 01:30,0,Actual
1.20006E+12,04/02/2023 02:00,0,Actual
1.20006E+12,04/02/2023 02:30,0,Actual
1.20006E+12,04/02/2023 03:00,0,Actual
1.20006E+12,04/02/2023 03:30,0,Actual
1.20006E+12,04/02/2023 04:00,0,Actual
1.20006E+12,04/02/2023 04:30,0,Actual
1.20006E+12,04/02/2023 05:00,0,Actual
1.20006E+12,04/02/2023 05:30,0,Actual
1.20006E+12,04/02/2023 06:00,0,Actual
1.20006E+12,04/02/2023 06:30,0,Actual
1.20006E+12,04/02/2023 07:00,0,Actual
1.20006E+12,04/02/2023 07:30,0,Actual
1.20006E+12,04/02/2023 08:00,0,Actual
1.20006E+12,04/02/2023 08:30,0,Actual
1.20006E+12,04/02/2023 09:00,0,Actual
1.20006E+12,04/02/2023 09:30,0,Actual
1.20006E+12,04/02/2023 10:00,0,Actual
1.20006E+12,04/02/2023 10:30,0,Actual
1.20006E+12,04/02/2023 11:00,0,Actual
1.20006E+12,04/02/2023 11:30,0,Actual
1.20006E+12,04/02/2023 12:00,0,Actual
1.20006E+12,04/02/2023 12:30,0,Actual
1.20006E+12,04/02/2023 13:00,0,Actual
1.20006E+12,04/02/2023 13:30,0,Actual
1.20006E+12,04/02/2023 14:00,0,Actual
1.20006E+12,04/02/2023 14:30,0,Actual
1.20006E+12,04/02/2023 15:00,0,Actual
1.20006E+12,04/02/2023 15:30,0,Actual
1.20006E+12,04/02/2023 16:00,0,Actual
1.20006E+12,04/02/2023 16:30,0,Actual
1.20006E+12,04/02/2023 17:00,0,Actual
1.20006E+12,04/02/2023 17:30,0,Actual
1.20006E+12,04/02/2023 18:00,0,Actual
1.20006E+12,04/02/2023 18:30,0,Actual
1.20006E+12,04/02/2023 19:00,0,Actual
1.20006E+12,04/02/2023 19:30,0,Actual
1.20006E+12,04/02/2023 20:00,0,Actual
1.20006E+12,04/02/2023 20:30,0,Actual
1.20006E+12,04/02/2023 21:00,0,Actual
1.20006E+12,04/02/2023 21:30,0,Actual
1.20006E+12,04/02/2023 22:00,0,Actual
1.20006E+12,04/02/2023 22:30,0,Actual
1.20006E+12,04/02/2023 23:00,0,Actual
1.20006E+12,04/02/2023 23:30,0,Actual
1.20006E+12,05/02/2023 00:00,0,Actual
1.20006E+12,05/02/2023 00:30,0,Actual
1.20006E+12,05/02/2023 01:00,0,Actual
1.20006E+12,05/02/2023 01:30,0,Actual
1.20006E+12,05/02/2023 02:00,0,Actual
1.20006E+12,05/02/2023 02:30,0,Actual
1.20006E+12,05/02/2023 03:00,0,Actual
1.20006E+12,05/02/2023 03:30,0,Actual
1.20006E+12,05/02/2023 04:00,0,Actual
1.20006E+12,05/02/2023 04:30,0,Actual
1.20006E+12,05/02/2023 05:00,0,Actual
1.20006E+12,05/02/2023 05:30,0,Actual
1.20006E+12,05/02/2023 06:00,0,Actual
1.20006E+12,05/02/2023 06:30,0,Actual
1.20006E+12,05/02/2023 07:00,0,Actual
1.20006E+12,05/02/2023 07:30,0,Actual
1.20006E+12,05/02/2023 08:00,0,Actual
1.20006E+12,05/02/2023 08:30,0,Actual
1.20006E+12,05/02/2023 09:00,0,Actual
1.20006E+12,05/02/2023 09:30,0,Actual
1.20006E+12,05/02/2023 10:00,0,Actual
1.20006E+12,05/02/2023 10:30,0,Actual
1.20006E+12,05/02/2023 11:00,0,Actual
1.20006E+12,05/02/2023 11:30,0,Actual
1.20006E+12,05/02/2023 12:00,0,Actual
1.20006E+12,05/02/2023 12:30,0,Actual
1.20006E+12,05/02/2023 13:00,0,Actual
1.20006E+12,05/02/2023 13:30,0,Actual
1.20006E+12,05/02/2023 14:00,0,Actual
1.20006E+12,05/02/2023 14:30,0,Actual
1.20006E+12,05/02/2023 15:00,0,Actual
1.20006E+12,05/02/2023 15:30,0,Actual
1.20006E+12,05/02/2023 16:00,0,Actual
1.20006E+12,05/02/2023 16:30,0,Actual
1.20006E+12,05/02/2023 17:00,0,Actual
1.20006E+12,05/02/2023 17:30,0,Actual
1.20006E+12,05/02/2023 18:00,0,Actual
1.20006E+12,05/02/2023 18:30,0,Actual
1.20006E+12,05/02/2023 19:00,0,Actual
1.20006E+12,05/02/2023 19:30,0,Actual
1.20006E+12,05/02/2023 20:00,0,Actual
1.20006E+12,05/02/2023 20:30,0,Actual
1.20006E+12,05/02/2023 21:00,0,Actual
1.20006E+12,05/02/2023 21:30,0,Actual
1.20006E+12,05/02/2023 22:00,0,Actual
1.20006E+12,05/02/2023 22:30,0,Actual
1.20006E+12,05/02/2023 23:00,0,Actual
1.20006E+12,05/02/2023 23:30,0,Actual
